name,facebook,twitter,website,genre,mtv
 Francis Purcell ,,,,,http://www.mtv.com/artists/francis-purcell/biography
 Francisco Buencamino ,,,,,http://www.mtv.com/artists/francisco-buencamino/biography
 Fred Martin ,,,,,http://www.mtv.com/artists/fred-martin/biography
 Fred Nelson III ,,,,,http://www.mtv.com/artists/fred-nelson-iii/biography
 Fortuna ,,,,,http://www.mtv.com/artists/fortuna-00/biography
 Fountains of Wayne ,http://www.facebook.com/178751935511050,http://www.twitter.com/fountainsofwayn,http://www.fountainsofwayne.com/,Rock,http://www.mtv.com/artists/fountains-of-wayne/biography
 Four Dreamers ,,,,,http://www.mtv.com/artists/four-dreamers/biography
 Four Shadows Fall ,,,,,http://www.mtv.com/artists/four-shadows-fall/biography
 Foxx ,,,,,http://www.mtv.com/artists/foxx/biography
 Fraglen ,,,,,http://www.mtv.com/artists/fraglen/biography
 Frankie Paul ,,,,Reggae,http://www.mtv.com/artists/frankie-paul/biography
 Franz Sanger ,,,,,http://www.mtv.com/artists/franz-sanger/biography
 Freda Payne ,,,,Soul,http://www.mtv.com/artists/freda-payne/biography
 Fredro Starr ,,,,Hip-Hop/Rap,http://www.mtv.com/artists/fredro-starr/biography
 Frank Hernandez ,,,,,http://www.cmt.com/artists/frank-hernandez/biography
 Frank Ifield ,,,,Country,http://www.cmt.com/artists/frank-ifield/biography
 Frank J. Stola ,,,,,http://www.mtv.com/artists/frank-j-stola/biography
 Frank L. Battisti ,,,,,http://www.mtv.com/artists/frank-l-battisti/biography
 Frank Miller ,,,,,http://www.mtv.com/artists/frank-miller/biography
 Frank Nitty ,,,http://www.franknitty.com,House,http://www.mtv.com/artists/frank-nitty/biography
 Frank Peters ,http://www.facebook.com/151133861578889,http://twitter.com/Frankpeters430,http://www.reverbnation.com/frankpeters,Alternative Rap,http://www.mtv.com/artists/frank-peters/biography
 Frank Stagnitta ,,,,,http://www.mtv.com/artists/frank-stagnitta/biography
 Frank Valdor ,,,,,http://www.mtv.com/artists/frank-valdor/biography
 Gin Blossoms ,http://www.facebook.com/10194655949,http://www.twitter.com/ginblossoms,,Pop,http://www.mtv.com/artists/gin-blossoms/biography
 Gina Kreiezmar ,,,,,http://www.mtv.com/artists/gina-kreiezmar/biography
 Gina Vera ,,,,,http://www.mtv.com/artists/gina-vera/biography
 Ginger ,,http://twitter.com/gingernyc,,Alternative,http://www.mtv.com/artists/ginger/biography
 Ginger Sling ,http://www.facebook.com/267705076836,http://www.twitter.com/gingerpooley,http://www.gingersling.net,Indie Rock,http://www.mtv.com/artists/ginger-sling/biography
 Ginny Owens ,http://www.facebook.com/7671492734,http://www.twitter.com/ginnyowens,http://www.ginnyowens.com/,CCM,http://www.mtv.com/artists/ginny-owens/biography
 Gerry & The Pacemakers ,http://www.facebook.com/173785399337771,,,Classic Rock,http://www.mtv.com/artists/gerry-the-pacemakers/biography
 Gabe Lopez ,,,,,http://www.mtv.com/artists/gabe-lopez/biography
 Gabriel Vivas ,,,,,http://www.mtv.com/artists/gabriel-vivas/biography
 Gabriella Cilmi ,,,,Rock,http://www.mtv.com/artists/gabriella-cilmi/biography
 Gabrielle ,http://www.facebook.com/21580134392,http://www.twitter.com/gabrielleuk,http://www.gabrielle.co.uk,Dance/Electronic,http://www.mtv.com/artists/gabrielle-2/biography
 Gabrielle Epstein ,,,,,http://www.mtv.com/artists/gabrielle-epstein/biography
 Fruit of the Spirit ,,,,,http://www.mtv.com/artists/fruit-of-the-spirit/biography
 Frutty Villareal ,,,,,http://www.mtv.com/artists/frutty-villareal/biography
 FSM ,,,,,http://www.mtv.com/artists/fsm/biography
 F.Soe Paing ,,,,,http://www.mtv.com/artists/fsoe-paing/biography
 Fuckmouth ,,,,,http://www.mtv.com/artists/fuckmouth/biography
 From Zero ,,,,Rock,http://www.mtv.com/artists/from-zero/biography
 Front Porch String Band ,,,,,http://www.cmt.com/artists/front-porch-string-band/biography
 Frozen Few ,,,,,http://www.mtv.com/artists/frozen-few/biography
 Fuego ,,,,Alternative,http://www.mtv.com/artists/fuego-2/biography
 Fuel ,http://www.facebook.com/11374215308,http://www.twitter.com/fuelofficial,http://www.fuelweb.com,Rock,http://www.mtv.com/artists/fuel/biography
 藤本美貴 ,,,,,http://www.mtv.com/artists/fujimoto-miki/biography
 Fulano de Tal ,,,,Latin,http://www.mtv.com/artists/fulano-de-tal/biography
 Freedom Call ,http://www.facebook.com/15424060865,,,Rock,http://www.mtv.com/artists/freedom-call/biography
 Frei.Wild ,http://www.facebook.com/155925984594,http://www.twitter.com/freiwildband,,Rock,http://www.mtv.com/artists/freiwild/biography
 French Kicks ,http://www.facebook.com/56888811789,http://www.twitter.com/fkix,,Rock,http://www.mtv.com/artists/french-kicks/biography
 Frenchie ,,,,,http://www.mtv.com/artists/frenchie/biography
 Fresca ,,,,,http://www.mtv.com/artists/fresca/biography
 Full Force ,http://www.facebook.com/112014120760,http://www.twitter.com/fullforceworld,,Hip-Hop/Rap,http://www.mtv.com/artists/full-force/biography
 Fullmania ,,,,,http://www.mtv.com/artists/fullmania/biography
 Gai Barone ,,,,,http://www.mtv.com/artists/gai-barone/biography
 Gaither Homecoming Kids ,,,,,http://www.mtv.com/artists/gaither-homecoming-kids/biography
 Gaitree Audho ,,,,,http://www.mtv.com/artists/gaitree-audho/biography
 Gal Costa ,,,,World/International,http://www.mtv.com/artists/gal-costa/biography
 Galen Young ,,,,,http://www.mtv.com/artists/galen-young/biography
 Galja Vranesevic ,,,,,http://www.mtv.com/artists/galja-vranesevic/biography
 Gallant Sons of Erin ,,,,,http://www.mtv.com/artists/gallant-sons-of-erin/biography
 Game Theory ,,,,Alternative,http://www.mtv.com/artists/game-theory/biography
 Funkadelic ,,,http://www.intrepidartists.com/original.htm,Rock,http://www.mtv.com/artists/funkadelic/biography
 Further Seems Forever ,http://www.facebook.com/151248611567933,http://www.twitter.com/fsfofficial,,Rock,http://www.mtv.com/artists/further-seems-forever/biography
 Future Prophet ,,,,,http://www.mtv.com/artists/future-prophet/biography
 gamin ,,,,,http://www.mtv.com/artists/gamin/biography
 Gang Bang City ,,,,,http://www.mtv.com/artists/gang-bang-city/biography
 Gesaffelstein ,,,,,http://www.mtv.com/artists/gesaffelstein/biography
 Geoffroy ,,,,,http://www.mtv.com/artists/geoffroy/biography
 George Balderose ,,,,,http://www.mtv.com/artists/george-balderose/biography
 George Benson ,,,http://georgebenson.com/,Jazz,http://www.mtv.com/artists/george-benson-2/biography
 George Bussey ,,,,,http://www.mtv.com/artists/george-bussey/biography
 George Canyon ,http://www.facebook.com/5812268605,http://www.twitter.com/georgecanyon,,Country,http://www.cmt.com/artists/george-canyon/biography
 George Carlin ,,,,Comedy/Spoken Word,http://www.mtv.com/artists/george-carlin/biography
 George Clinton ,http://www.facebook.com/152543812610,http://www.twitter.com/george_clinton,http://www.availableentertainment.com/,Rock,http://www.mtv.com/artists/george-clinton/biography
 Gary Gentry ,,,,,http://www.cmt.com/artists/gary-gentry/biography
 Gary Goodnight ,,,,,http://www.mtv.com/artists/gary-goodnight/biography
 Gary Moore ,http://www.facebook.com/129382477119262,,,Rock,http://www.mtv.com/artists/gary-moore/biography
 Gary Puckett ,,,,Pop,http://www.mtv.com/artists/gary-puckett/biography
 Gary Stewart ,http://www.facebook.com/593881973956700,,,Country,http://www.cmt.com/artists/gary-stewart-00/biography
 Gaudino ,,,,Electronic/Dance,http://www.mtv.com/artists/gaudino/biography
 Gangsta Rap ,,,,,http://www.mtv.com/artists/gangsta-rap/biography
 Ganxsta Nip ,,,,,http://www.mtv.com/artists/ganxsta-nip/biography
 Gareth Emery ,http://www.facebook.com/20785087272,http://www.twitter.com/garethemery,,Electronic,http://www.mtv.com/artists/gareth-emery/biography
 Gareth Gates ,http://www.facebook.com/22143480870,http://www.twitter.com/gareth_gates,,Rock,http://www.mtv.com/artists/gareth-gates/biography
 Gary Brockhoff ,,,,,http://www.mtv.com/artists/gary-brockhoff-00/biography
 Gavin Rossdale ,http://www.facebook.com/11679298595,http://www.twitter.com/gavinrossdale,http://www.gavinrossdale.com/,Rock,http://www.mtv.com/artists/gavin-rossdale/biography
 G.C. and Soul Mafia ,,,,,http://www.mtv.com/artists/gc-and-soul-mafia/biography
 GD & TOP ,,,,,http://www.mtv.com/artists/gd-top/biography
 Geno Young ,,,,,http://www.mtv.com/artists/geno-young/biography
 Gentleman ,,,,World/Reggae,http://www.mtv.com/artists/gentleman-00/biography
 Gentlemen Hall ,http://www.facebook.com/13880692421,http://www.twitter.com/gentlemenhall,http://www.gentlemenhall@gmail.com,Alternative,http://www.mtv.com/artists/gentlemen-hall/biography
 Geoff Johns ,,,,,http://www.mtv.com/artists/geoff-johns/biography
 George Fontenette ,,,,,http://www.mtv.com/artists/george-fontenette/biography
 Gecko ,,,,,http://www.mtv.com/artists/gecko/biography
 Gecko Turner ,,,,Rock,http://www.mtv.com/artists/gecko-turner/biography
 Geeta Dutt ,,,,World/Reggae,http://www.mtv.com/artists/geeta-dutt/biography
 Gemma Hayes ,http://www.facebook.com/44263225700,http://www.twitter.com/gemma_hayes,http://www.gemmahayes.com/,Pop,http://www.mtv.com/artists/gemma-hayes/biography
 Genaro Diaz El Alguacil ,,,,,http://www.mtv.com/artists/genaro-diaz-el-alguacil/biography
 O.T. Genasis ,,,,,http://www.mtv.com/artists/ot-genasis/biography
 Gene Connors ,,,,,http://www.mtv.com/artists/gene-connors/biography
 Gene Harris ,,,,Jazz,http://www.mtv.com/artists/gene-harris/biography
 Gene Pitney ,,,,Pop,http://www.mtv.com/artists/gene-pitney/biography
 Gene Smith ,,,,,http://www.cmt.com/artists/gene-smith-2/biography
 Geto Boys ,,,,Hip-Hop/Rap,http://www.mtv.com/artists/geto-boys/biography
 Gez Varley ,,,,Electronic/Dance,http://www.mtv.com/artists/gez-varley/biography
 GG Allin ,http://www.facebook.com/pages/GG-Allin/19857698939,,,Rock,http://www.mtv.com/artists/gg-allin/biography
 Ghazi Abdel Baki ,,,,,http://www.mtv.com/artists/ghazi-abdel-baki/biography
 Georgie Fame ,http://www.facebook.com/57514308296,,,Jazz,http://www.mtv.com/artists/georgie-fame/biography
 Gerald Alston ,,,,R&B,http://www.mtv.com/artists/gerald-alston/biography
 Gerard Bentall ,,,,,http://www.mtv.com/artists/gerard-bentall/biography
 Gerardito Fernandez ,,,,Latin,http://www.mtv.com/artists/gerardito-fernandez/biography
 Gerardo Mejia ,,,,,http://www.mtv.com/artists/gerardo-mejia/biography
 Ginx ,,,,,http://www.mtv.com/artists/ginx/biography
 George Lewis ,,,,Jazz,http://www.mtv.com/artists/george-lewis/biography
 George Morgan ,,,http://www.countrymusichalloffame.com/inductees/george_morgan.html,Country,http://www.cmt.com/artists/george-morgan/biography
 George Shuffler ,,,,,http://www.cmt.com/artists/george-shuffler/biography
 George Thorogood ,,,,Rock,http://www.mtv.com/artists/george-thorogood/biography
" Gigi D'Alessio ",,,,,http://www.mtv.com/artists/gigi-dalessio-00/biography
 Gigliola Cinquetti ,,,,World/International,http://www.mtv.com/artists/gigliola-cinquetti/biography
 Gil Prather ,,,,,http://www.cmt.com/artists/gil-prather/biography
 Gil Semedo ,,,,,http://www.mtv.com/artists/gil-semedo/biography
 Gilberto Santa Rosa ,http://www.facebook.com/101613023717,http://www.twitter.com/gilbertosr,http://www.gilbertosantarosa.com/,World/International,http://www.mtv.com/artists/gilberto-santa-rosa-00/biography
 Gilberto Valenzuela ,,,,,http://www.mtv.com/artists/gilberto-valenzuela/biography
 Gilda Buttà ,,,,,http://www.mtv.com/artists/gilda-butta-00/biography
 Gilles Coronado ,,,,Jazz,http://www.mtv.com/artists/gilles-coronado/biography
 Gillian Tennant ,,,,,http://www.mtv.com/artists/gillian-tennant/biography
 Gillie Da Kid ,http://www.facebook.com/196765197023228,http://www.twitter.com/gilliedakid,,Hip-Hop,http://www.mtv.com/artists/gillie-da-kid/biography
 Girlicious ,http://www.facebook.com/14733046612,http://www.twitter.com/girlicious,,R&B,http://www.mtv.com/artists/girlicious/biography
 Girls Aloud ,http://www.facebook.com/6223317431,,,Pop,http://www.mtv.com/artists/girls-aloud/biography
" Girl's Day ",,,,,http://www.mtv.com/artists/girls-day/biography
 Girlschool ,,,,Classic Rock,http://www.mtv.com/artists/girlschool/biography
 Gisele MacKenzie ,,,,Easy Listening/Vocal,http://www.mtv.com/artists/gisele-mackenzie/biography
 Git Fresh ,,,,,http://www.mtv.com/artists/git-fresh/biography
 Giulia ,,,,,http://www.mtv.com/artists/giulia/biography
 Giuseppe Verdi ,http://www.facebook.com/36866440568,,,Classical,http://www.mtv.com/artists/giuseppe-verdi/biography
 GIVERS ,http://www.facebook.com/65782606394,http://www.twitter.com/giversmusic,,Rock,http://www.mtv.com/artists/givers/biography
 Gizmachi ,,,http://www.gizmachi.net/,Rock,http://www.mtv.com/artists/gizmachi/biography
 G.L. Williams & The Perfect... ,,,,,http://www.cmt.com/artists/gl-williams-the-perfect/biography
 Ghetto Azz Niggaz ,,,,,http://www.mtv.com/artists/ghetto-azz-niggaz/biography
 Ghost Machinery ,,,,,http://www.mtv.com/artists/ghost-machinery/biography
 Ghostface Killah ,http://www.facebook.com/132123490805,http://www.twitter.com/ghostfacekillah,,Hip-Hop/Rap,http://www.mtv.com/artists/ghostface-killah/biography
 Ghymes ,,,,,http://www.mtv.com/artists/ghymes/biography
 GI ,,,,Inspirational,http://www.mtv.com/artists/gi-00/biography
 Giacomo Puccini ,,,,Pop,http://www.mtv.com/artists/giacomo-puccini-00/biography
 Gian Wiegner ,,,,,http://www.mtv.com/artists/gian-wiegner/biography
" Gianna D'Angelo ",,,,,http://www.mtv.com/artists/gianna-dangelo/biography
 Giannis Floriniotis ,,,,,http://www.mtv.com/artists/giannis-floriniotis/biography
 Grupo N-Sexso ,,,,,http://www.mtv.com/artists/grupo-n-sexso/biography
 Grupo Niche ,http://www.facebook.com/153252614700037,http://www.twitter.com/gruponiche,,Salsa,http://www.mtv.com/artists/grupo-niche/biography
 Grupo Tentacion ,http://www.facebook.com/154637437898603,,,Latin,http://www.mtv.com/artists/grupo-tentacion/biography
 Greg Thuman ,,,,,http://www.mtv.com/artists/greg-thuman/biography
 Greg Vail ,,,,,http://www.mtv.com/artists/greg-vail/biography
 Gregory Charles Royal ,,,,,http://www.mtv.com/artists/gregory-charles-royal/biography
 Gregory Dean ,,,,,http://www.mtv.com/artists/gregory-dean/biography
 Graham Coxon ,http://www.facebook.com/228520290508153,http://www.twitter.com/grahamcoxon,http://www.grahamcoxon.co.uk/,Alternative,http://www.mtv.com/artists/graham-coxon/biography
 Gram Parsons ,http://www.facebook.com/124349880912028,http://www.twitter.com/gramparsons,,Rock,http://www.cmt.com/artists/gram-parsons/biography
 Grand Folk Railroad ,,,,,http://www.mtv.com/artists/grand-folk-railroad/biography
 Gordon Mote ,,,,,http://www.cmt.com/artists/gordon-mote/biography
 Gloria Loring ,,,,Soundtracks/Musicals,http://www.mtv.com/artists/gloria-loring/biography
 All and Gloria Glover ,,,,,http://www.mtv.com/artists/all-and-gloria-glover-1/biography
 Glyn Poole ,,,,,http://www.mtv.com/artists/glyn-poole/biography
 Go West ,,,,Pop,http://www.mtv.com/artists/go-west/biography
 Godzila ,,,,,http://www.mtv.com/artists/godzila/biography
 Godzilla: The Album ,,,,,http://www.mtv.com/artists/godzilla-the-album/biography
 Golden Gate Quartet ,,,,R&B/Soul,http://www.mtv.com/artists/golden-gate-quartet/biography
 Samantha Glass ,,,,,http://www.mtv.com/artists/samantha-glass-1/biography
 Glen Curtin ,,,,,http://www.mtv.com/artists/glen-curtin/biography
 Glen Hansard and Marketa Irglova ,,,,,http://www.mtv.com/artists/glen-hansard-and-marketa-irglova/biography
 Glen Spreen ,,,,,http://www.mtv.com/artists/glen-spreen/biography
 Glen Washington ,http://www.facebook.com/435059649865435,http://www.twitter.com/whyte38,http://glenwashington.net,Roots Reggae,http://www.mtv.com/artists/glen-washington/biography
 Glenn Danzig ,http://www.facebook.com/105550189479554,,,Rock,http://www.mtv.com/artists/glenn-danzig/biography
 Glenn Gould ,http://www.facebook.com/60651392745,http://www.twitter.com/glenn_gould,http://www.glenngould.com/gg/index.html,Pop,http://www.mtv.com/artists/glenn-gould/biography
 Glenn Hughes ,http://www.facebook.com/glennhughesonline,http://twitter.com/glenn_hughes,,Rock,http://www.mtv.com/artists/glenn-hughes/biography
 Glenn Miller ,,,http://www.cmgww.com/music/miller/index.html,Jazz,http://www.mtv.com/artists/glenn-miller-00/biography
 Gospel Music Workshop of America ,,,,Inspirational,http://www.mtv.com/artists/gospel-music-workshop-of-america/biography
 Gotthard ,http://www.facebook.com/145542362164606,http://www.twitter.com/gotthard,,Rock,http://www.mtv.com/artists/gotthard/biography
 Government Alpha ,,,,,http://www.mtv.com/artists/government-alpha/biography
" Gov't Mule ",http://www.facebook.com/6727361238,http://www.twitter.com/govtmuleband,http://mule.net,Rock,http://www.mtv.com/artists/govt-mule/biography
 Grandmaster Melle Mel ,,,,Hip-Hop/Rap,http://www.mtv.com/artists/grandmaster-melle-mel/biography
 Gregory Whitehead ,,,,Classical,http://www.mtv.com/artists/gregory-whitehead/biography
 Grenadine ,,,,Alternative,http://www.mtv.com/artists/grenadine/biography
 Gomez ,http://www.facebook.com/5478568761,http://www.twitter.com/gomeztheband,http://gomeztheband.com,Alternative,http://www.mtv.com/artists/gomez-2/biography
 Gonda Traditional Entertainers ,,,,,http://www.mtv.com/artists/gonda-traditional-entertainers/biography
 Good Riddance ,,,,Rock,http://www.mtv.com/artists/good-riddance/biography
 Goodfellaz ,http://www.facebook.com/11969063134,,,R&B,http://www.mtv.com/artists/goodfellaz/biography
 Google Monsta ,,,,,http://www.mtv.com/artists/google-monsta/biography
 Göran Edman ,,,,,http://www.mtv.com/artists/goran-edman/biography
 Gordon MacRae ,,,,Easy Listening/Vocal,http://www.mtv.com/artists/gordon-macrae/biography
 Grethe Kausland ,,,,,http://www.mtv.com/artists/grethe-kausland/biography
 Gridlock ,,,,Alternative,http://www.mtv.com/artists/gridlock/biography
 Greg Holden ,http://www.facebook.com/12835855597,http://www.twitter.com/gregholden,http://GregHoldenOnline.com,Alternative,http://www.mtv.com/artists/greg-holden/biography
 Greg Lake ,,,,Alternative,http://www.mtv.com/artists/greg-lake/biography
 Greg Logan ,,,,,http://www.mtv.com/artists/greg-logan/biography
 Greg Rzab ,,,,,http://www.mtv.com/artists/greg-rzab/biography
 Greg & Steve ,,,,Misc,http://www.mtv.com/artists/greg-steve/biography
 Guana Batz ,,,,Rock,http://www.mtv.com/artists/guana-batz/biography
 Grant Kuneman ,,,,,http://www.mtv.com/artists/grant-kuneman/biography
 Grant Taylor ,http://www.facebook.com/57018968313,http://twitter.com/granttaylor2,http://www.reverbnation.com/granttaylor,Adult Alternative,http://www.mtv.com/artists/grant-taylor/biography
 Grazzia Giu ,,,,,http://www.mtv.com/artists/grazzia-giu/biography
 Great Lake Swimmers ,http://www.facebook.com/36738777490,http://www.twitter.com/greatlakeswim,http://www.greatlakeswimmers.com,Folk-Rock,http://www.mtv.com/artists/great-lake-swimmers/biography
 Grupo Capataz ,,,,,http://www.mtv.com/artists/grupo-capataz/biography
 Grupo Chakaly ,,,,,http://www.mtv.com/artists/grupo-chakaly/biography
 Grupo Laberinto ,,,,Latin,http://www.mtv.com/artists/grupo-laberinto/biography
 Grupo Ladron ,,,,Latin,http://www.mtv.com/artists/grupo-ladron/biography
 Grupo Límite ,,,,World/International,http://www.mtv.com/artists/grupo-lmite-1/biography
 Grupo Mattizz ,,,,Latin,http://www.mtv.com/artists/grupo-mattizz/biography
 Grupo Miel ,,,,,http://www.mtv.com/artists/grupo-miel/biography
 Guided by Voices ,http://www.facebook.com/292193060815404,http://www.twitter.com/gbvtweets,http://www.gbv.com/,Alternative,http://www.mtv.com/artists/guided-by-voices/biography
 Guitars Unlimited ,,,,Easy Listening/Vocal,http://www.mtv.com/artists/guitars-unlimited/biography
 Gumbi Ortiz and Latino Projekt ,,,,,http://www.mtv.com/artists/gumbi-ortiz-and-latino-projekt-1/biography
 Gündüz Dagdelen Ast ,,,,,http://www.mtv.com/artists/gunduz-dagdelen-ast/biography
 Gro Myhren Værnes ,,,,,http://www.mtv.com/artists/gro-myhren-vrnes/biography
 Dave Grohl ,,,,Rock,http://www.mtv.com/artists/dave-grohl/biography
 Groove Armada ,http://www.facebook.com/129699556157,http://www.twitter.com/groovearmada,http://www.groove-armada.com/,Dance/Electronic,http://www.mtv.com/artists/groove-armada/biography
 Groovehound ,,,,,http://www.mtv.com/artists/groovehound-1/biography
 Groovemaster K. ,,,,,http://www.mtv.com/artists/groovemaster-k/biography
 Grouplove ,http://www.facebook.com/122624477750940,http://www.twitter.com/grouplove,http://Http://grouplove music.com,Alternative,http://www.mtv.com/artists/grouplove/biography
 Hashem ,,,,,http://www.mtv.com/artists/hashem/biography
 Haste the Day ,,http://www.twitter.com/hastetheday,,Inspirational,http://www.mtv.com/artists/haste-the-day/biography
 Hatem Al Iraqi ,,,,,http://www.mtv.com/artists/hatem-al-iraqi/biography
 Haulover Drive ,http://www.facebook.com/208017965898741,http://www.twitter.com/http://www.facebook.com/HauloverDrive,http://www.hauloverdrivemusic.com,Pop/Rock,http://www.mtv.com/artists/haulover-drive/biography
 Hans J. Salter ,,,,Soundtracks/Musicals,http://www.mtv.com/artists/hans-j-salter/biography
 Hansi Hinterseer ,http://www.facebook.com/125461990878859,http://www.twitter.com/hinterseerhansi,,Rock,http://www.mtv.com/artists/hansi-hinterseer/biography
 Har Mar Superstar ,http://www.facebook.com/31504514260,http://www.twitter.com/harmarsuperstar,http://www.harmarsuperstar.com/,Alternative,http://www.mtv.com/artists/har-mar-superstar/biography
 Hard-Fi ,http://www.facebook.com/15539010626,http://www.twitter.com/hard_fi,,Rock,http://www.mtv.com/artists/hard-fi/biography
 Hande Yener ,,,,,http://www.mtv.com/artists/hande-yener/biography
 Hang on the Box ,,,,,http://www.mtv.com/artists/hang-on-the-box/biography
 Guy Lobe ,,,,,http://www.mtv.com/artists/guy-lobe-1/biography
 Guy Martin ,,,,,http://www.mtv.com/artists/guy-martin/biography
 Guy Penrod ,,,,Inspirational,http://www.mtv.com/artists/guy-penrod/biography
 Guy Protheroe ,,,,,http://www.mtv.com/artists/guy-protheroe/biography
 Gypsy Soul ,,,,World/Reggae,http://www.mtv.com/artists/gypsy-soul/biography
 Haddaway ,http://www.facebook.com/47211949935,,http://www.haddawaymusic.com/,Pop,http://www.mtv.com/artists/haddaway/biography
 Hadrien Feraud ,,,,,http://www.mtv.com/artists/hadrien-feraud/biography
 Hafíz Kani Karaca ,,,,,http://www.mtv.com/artists/hafiz-kani-karaca/biography
 Haifa Wehbe ,,,,,http://www.mtv.com/artists/haifa-wehbe/biography
 Haitian Fresh ,,,,,http://www.mtv.com/artists/haitian-fresh/biography
 Gunter Kallmann Chorus ,,,,,http://www.mtv.com/artists/gunter-kallmann-chorus/biography
 Gupi ,,,,,http://www.mtv.com/artists/gupi/biography
 Gurdas Maan ,,,,,http://www.mtv.com/artists/gurdas-maan/biography
 Gus Hardin ,,,,,http://www.cmt.com/artists/gus-hardin/biography
 Guster ,http://www.facebook.com/7219382370,http://www.twitter.com/guster,http://www.guster.com/,Alternative,http://www.mtv.com/artists/guster/biography
 Gutta Slim ,http://www.facebook.com/902841123086635,http://www.twitter.com/gutta_slim,https://youtu.be/DDLf8u9pbzs,Hip-Hop/Rap,http://www.mtv.com/artists/gutta-slim/biography
 Guy & David ,,,,,http://www.mtv.com/artists/guy-david-2/biography
 Guy Drake ,,,,,http://www.cmt.com/artists/guy-drake/biography
 Hal Kennedy ,,,,,http://www.mtv.com/artists/hal-kennedy/biography
 Hank Thompson ,http://www.facebook.com/47713752369,,http://www.countrymusichalloffame.com/inductees/hank_thompson.html,Country,http://www.cmt.com/artists/hank-thompson/biography
 Hank Vegas ,,,,Rock,http://www.mtv.com/artists/hank-vegas/biography
 Hank Wilson ,,,,,http://www.cmt.com/artists/hank-wilson/biography
 Hanna Hartman ,,,,,http://www.mtv.com/artists/hanna-hartman/biography
 Hanq Neal ,,,,,http://www.mtv.com/artists/hanq-neal/biography
 Hawk Nelson ,http://www.facebook.com/6037418431,http://www.twitter.com/hawknelson,http://hawknelson.com,Christian Pop,http://www.mtv.com/artists/hawk-nelson/biography
 Coleman Hawkins & Roy Eldridge Sextet ,,,,,http://www.mtv.com/artists/coleman-hawkins-roy-eldridge-sextet-1/biography
 Harr Monika ,,,,,http://www.mtv.com/artists/harr-monika/biography
 Harriet Brekalo RN CMT HTP ,,,,,http://www.mtv.com/artists/harriet-brekalo-rn-cmt-htp/biography
 Halfway Home ,,,,,http://www.mtv.com/artists/halfway-home/biography
 Hall of Fame ,,,,,http://www.mtv.com/artists/hall-of-fame-00/biography
 Harry Martin ,,,,,http://www.mtv.com/artists/harry-martin/biography
 Harry Warren ,,,,Easy Listening/Vocal,http://www.mtv.com/artists/harry-warren/biography
" Hartman's Heartbreakers ",,,,,http://www.cmt.com/artists/hartmans-heartbreakers/biography
 Hayley Taylor ,,http://www.twitter.com/hayley_taylor,http://www.hayleytaylor.com,Pop/Rock,http://www.mtv.com/artists/hayley-taylor/biography
 Hazeldine ,,,,VH1 Celebrity,http://www.cmt.com/artists/hazeldine/biography
 Head Wound City ,,,,Rock,http://www.mtv.com/artists/head-wound-city/biography
